# kappa_CO Color Extended Emission_line_flux
-1.581862133006100457e+00 -6.612307828918272123e-03 -3.475533387671270874e-02 4.149921715612883179e-03
1.574559067587912864e+00 -7.944354060046805444e-01 2.031450234565141122e-01 1.605487869858178776e-02
1.531990475165861731e+00 8.573405014974259108e-01 -2.079754178048099089e-01 4.166315770216804520e-02
1.297215471156621280e+00 1.226267345173265966e+00 1.858865005815530658e-01 6.825469423304415632e-04
5.181259591131053277e-01 8.257714425578112083e-01 -2.002589858418063196e-01 1.555766189074685689e-02
-1.647524013432830392e+00 -2.909640578232330355e-01 -8.488083597139740866e-02 1.855013775209116709e-03
-1.312495960360360536e+00 -9.756536637063872863e-01 6.454576379671399244e-02 6.772650820885567705e-03
9.418303994505568266e-02 -9.715157240517418025e-01 -1.525183484703762915e-01 7.745013475795202093e-03
-7.308293662245411992e-01 -1.520148623547937117e+00 -1.654403149798441552e-01 1.175440493844443976e-02
-1.198035514238126931e+00 -7.748995242729109778e-01 -1.553888673156534339e-01 9.596892572192079404e-03
9.239828410873159870e-01 1.777834347035739837e+00 1.147825167397738610e+01 1.090081926786352559e-02
-5.984559237348287958e-02 -1.529282119025459297e+00 3.898419076010914419e-02 6.831833598305123156e-03
-7.636904493163587659e-01 -1.444848884885064910e+00 -1.634425634459983900e-01 8.526963942402147889e-03
2.107483763112582187e-04 1.721434588786520337e+00 -5.631843046236872929e-02 -4.600461899449871488e-03
-4.947783141807925861e-02 1.406075869007390677e+00 -2.111979239834090860e-01 3.049867476227865245e-03
1.994432697702669399e-01 6.977118982246788281e-01 -1.766384193309194495e-01 -1.457417549789206089e-02
-7.280093456803538032e-01 -1.644801536367559436e+00 -5.442909058528022821e-04 1.523443315861079846e-02
1.483203559508212033e+00 7.372182096547768015e-01 -2.227490320565325421e-01 1.399685589728149292e-02
6.240284469711836479e-01 5.830573906633214065e-01 -7.707371578154557923e-02 1.853319753371344449e-03
-9.705412902025714050e-01 -1.527108747498973740e+00 -2.138906834424482151e-01 -6.878753039327275415e-03
-1.268932146384184334e-01 -1.742479172379871599e-01 -2.430011828464804791e-01 9.141630532557632957e-03
-9.775929265870951790e-01 -1.338935131052658933e+00 -6.810836519329677152e-02 7.674246040736901718e-03
-7.723700356336991035e-01 -8.994348472149567009e-01 -1.653432671233160123e-01 1.086983702292450976e-02
2.383663245330104319e-01 4.325048331001173918e-01 -9.594874594355334851e-02 1.198092154703397742e-02
1.602294970322201140e+00 8.190973046629406173e-01 -2.109814004055610981e-01 1.603489591926767627e-02
2.756759797234513143e-01 2.956308927832866362e-01 1.430450352098183442e-01 8.745110809668128066e-03
-1.691869092408271769e+00 -6.128815097814966917e-01 -2.011654932431501119e-01 1.010422960988516944e-02
1.727538787649588459e-01 -3.260206214409914344e-02 -2.125317833434417214e-01 2.140551646496482649e-02
1.760053307482670193e-01 2.674198868301539411e-01 -2.065322625617620478e-01 1.001722322748622822e-02
-1.730115377582477354e+00 -7.572749184662429522e-01 -4.127449318431359454e-02 4.855866286200650334e-03
-1.227605921956175683e+00 -2.682942159254366188e-01 6.456124903674639315e-01 1.132364303029618531e-04
-4.292687417873388145e-01 -1.212847790922296332e+00 -1.676655019903341703e-01 1.539890437160143510e-02
8.141797422691778863e-01 8.216183746451884984e-01 -2.303492651253599699e-01 1.172948018850679917e-02
1.974994769964816821e-01 7.640545087388467271e-02 1.381780012199397278e+00 2.878131237938852741e-02
-1.218153799714706970e-01 -2.376291629329339850e-01 -1.518361886237760694e-01 7.243458955426673902e-03
-1.709456748151117811e+00 -1.441399901480510337e+00 -1.021723213015131443e-01 1.089344091257625491e-02
-6.344879603228003040e-01 -5.267881005502444980e-01 -6.872862712169298949e-02 1.210387503424232430e-02
-1.358881126789564187e+00 -2.494803403392293062e-01 -1.042951285614639595e-01 4.859140940504889754e-03
1.108757990226484913e-01 9.674975615406442575e-01 -2.014254990833096726e-01 1.255083576725263836e-03
